person_id,candidate,cycle,chamber,district,best_cmo,match_status,match_method,similarity,suggested_source_name,source_party,source_u_id,np_score,np_score_min,np_score_max,al_dem_caucus_conservative_percentile,reference_caucus_n,served_in_chamber_by_election,served_in_chamber_after_election,served_in_either_chamber_by_election,temporal_use,review_note
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,house,53,55.655956689780965,matched,normalized_exact,100.0,"Daniels, Anthony",D,AL2015L053,-0.36,-0.36,-0.36,68.42105263157895,38.0,False,True,False,post_election_or_other_chamber_only,
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,house,39,40.756299374806446,matched,normalized_exact,100.0,"Lindsey, Richard",D,AL1996L042,-0.13,-0.13,-0.13,92.10526315789474,38.0,True,True,True,pre_election_service_available,
ALPERSON-BARBARA-BIGSBY-BOYD,BARBARA BIGSBY BOYD,2010,house,32,40.16708706446988,matched,manual_alias,100.0,"Boyd, Barbara",D,AL1996L072,-0.504,-0.504,-0.504,32.20338983050847,59.0,True,True,True,pre_election_service_available,
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,house,27,37.692109000464725,matched,manual_alias,100.0,"McLaughlin, Jeffrey",D,AL2001L047,-0.016,-0.016,-0.016,92.10526315789474,38.0,True,False,True,pre_election_service_available,
ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,house,7,37.152067339362816,ambiguous_multiple_scores,manual_alias,100.0,Letson,D,AL1996L003 | AL1999L003,-0.1095,-0.13,-0.089,92.10526315789474,38.0,True,False,True,pre_election_service_available,Multiple source rows yield different ideal points; do not use mean inferentially.
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,senate,6,31.14717422709608,matched,manual_alias,100.0,"Morrow, Johnny",D,AL1996L034,0.002,0.002,0.002,100.0,7.0,False,False,True,pre_election_other_chamber_service_available,
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,house,103,29.89025236951064,matched,manual_alias,100.0,"Drummond, Barbara",D,AL2015L103,-0.61,-0.61,-0.61,28.947368421052634,38.0,False,True,False,post_election_or_other_chamber_only,
ALPERSON-HENRY-A-WHITE,Henry A. White,2014,house,5,29.729306552658905,matched,manual_alias,100.0,"White, Henry",D,AL2007L104,-0.23,-0.23,-0.23,78.94736842105263,38.0,True,False,True,pre_election_service_available,
ALPERSON-LARRY-MEANS,Larry Means,2014,senate,10,29.13324637426904,matched,normalized_exact,100.0,"Means, Larry",D,AL1999U030,0.143,0.143,0.143,100.0,11.0,True,False,True,pre_election_service_available,
ALPERSON-TAMMY-L-IRONS,TAMMY L. IRONS,2010,senate,1,27.9658213674507,matched,manual_alias,100.0,"Irons, Tammy",D,AL2006L201,-0.437,-0.437,-0.437,45.45454545454545,22.0,False,True,True,pre_election_other_chamber_service_available,
