person_id,candidate,max_cmo,min_cmo,median_cmo,stability_low,stability_high,cycles_observed,earliest_cycle,latest_cycle,chambers,districts,incumbent_cycles,wins,partial_issue_count,partial_evidence_records,full_name,identity_researchable,research_tail,extreme_cmo,tail_result_stable,priority_score,high_tail_rank,low_tail_rank,research_status,target_evidence
ALPERSON-DUKES,Dukes,59.16936170233136,45.27884920161773,52.224105451974545,49.94357144042699,54.504639463522096,2,1994,1998,house,8,0,2,2.0,2.0,False,True,high_overperformance,59.16936170233136,True,74.66242314567191,3,373,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-MEANS,Means,-3.2190705512743545,-60.02678965435099,-31.622930102812674,-12.444860813178725,-50.80099939244663,2,1998,2014,house|senate,10,0,1,1.0,1.0,False,True,low_overperformance,-60.02678965435099,True,73.49306144334055,218,1,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-SETH-HAMMETT,SETH HAMMETT,65.01077876458899,65.01077876458899,65.01077876458899,55.78498850268463,74.23656902649336,1,2006,2006,house,92,0,1,2.0,2.0,True,True,high_overperformance,65.01077876458899,True,73.46573590279974,2,377,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-BARBARA-BIGSBY-BOYD,BARBARA BIGSBY BOYD,47.13961843144394,-11.613021108837456,44.38455619933887,37.91382816953957,-2.387230846933088,3,2006,2018,house,32,2,3,11.0,82.0,True,True,high_overperformance,47.13961843144394,True,70.07109023704339,5,110,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-CRAIG-FORD,Craig Ford,46.316072835199336,46.316072835199336,46.316072835199336,37.09028257329497,55.5418630971037,1,2014,2014,house,28,1,1,12.0,83.0,True,True,high_overperformance,46.316072835199336,True,65.78180873799906,7,374,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-ANDERSON,Anderson,113.6779848777372,113.6779848777372,113.6779848777372,104.45219461583282,122.90377513964155,1,1994,1994,senate,25,0,1,,,False,False,high_overperformance,113.6779848777372,True,65.46573590279974,1,378,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-JOHNSON-GARY,"Johnson, Gary",-57.86702721515506,-57.86702721515506,-57.86702721515506,-67.09281747705943,-48.6412369532507,1,2002,2002,house,102,0,0,,,True,True,high_overperformance,-57.86702721515506,False,65.33276311795478,378,2,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,54.82554248802292,54.82554248802292,54.82554248802292,45.59975222611856,64.05133274992728,1,2014,2014,house,53,0,1,,,True,True,high_overperformance,54.82554248802292,True,64.29127839082264,4,376,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-RICHARD-LINDSEY,RICHARD LINDSEY,42.26418942554788,33.33943093293965,37.801810179243766,33.03839916364352,42.565221194844014,2,2010,2014,house,39,2,2,14.0,85.0,True,True,high_overperformance,42.26418942554788,True,63.757250868888434,10,362,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-RONNIE-HELMS,RONNIE HELMS,-26.966973992439257,-44.869523349102096,-35.91824867077068,-36.19276425434363,-35.64373308719773,2,2006,2010,house|senate,29|93,0,0,2.0,2.0,True,True,low_overperformance,-44.869523349102096,True,60.36258479244265,345,7,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-RAYFORD-MACK,Rayford Mack,-52.488625515541344,-52.488625515541344,-52.488625515541344,-61.71441577744571,-43.26283525363698,1,2018,2018,house,74,0,0,,,True,True,high_overperformance,-52.488625515541344,False,59.95436141834107,377,3,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-BOYD,Boyd,-9.75669913008032,-38.03882542956548,-23.8977622798229,-18.98248939198469,-28.81303516766111,2,1994,1998,house,32,0,2,17.0,46.0,False,True,low_overperformance,-38.03882542956548,True,59.53188687290603,268,13,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-DOUG-SMITTY-SMITH,DOUG 'Smitty' SMITH,-49.32356288869572,-49.32356288869572,-49.32356288869572,-58.54935315060008,-40.09777262679136,1,2010,2010,senate,25,0,0,,,True,True,high_overperformance,-49.32356288869572,False,56.78929879149545,376,4,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-STEVE-HURST,STEVE HURST,41.16383342203754,12.134934197224656,26.649383809631097,31.938043160133173,21.360724459129024,2,2006,2010,house,35,1,2,2.0,2.0,True,True,high_overperformance,41.16383342203754,True,56.65689486537809,12,297,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-CLARA-L-CURTIS,CLARA L. CURTIS,-49.1618761064091,-49.1618761064091,-49.1618761064091,-58.38766636831348,-39.93608584450473,1,2006,2006,house,33,0,0,,,True,True,high_overperformance,-49.1618761064091,False,56.62761200920883,375,5,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-HAMMETT-SETH,"Hammett, Seth",43.137558170481846,43.137558170481846,43.137558170481846,33.911767908577474,52.36334843238622,1,2002,2002,house,92,0,1,2.0,3.0,True,True,high_overperformance,43.137558170481846,True,56.603294073281575,8,372,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-CURTIS-CLARA,"Curtis, Clara",-38.82785792949809,-38.82785792949809,-38.82785792949809,-48.05364819140246,-29.60206766759372,1,2002,2002,house,33,0,0,13.0,45.0,True,True,high_overperformance,-38.82785792949809,False,56.293593832297816,372,9,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-DEXTER-GRIMSLEY,DEXTER GRIMSLEY,33.271244669137644,-5.841013422195516,20.577442720900716,24.04545440723328,3.384776839708852,3,2010,2018,house,85,2,3,15.0,84.0,True,True,high_overperformance,33.271244669137644,True,56.202716474737095,23,149,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-LAIRD-RICHARD,"Laird, Richard",42.410959267368455,42.410959267368455,42.410959267368455,33.18516900546409,51.63674952927282,1,2002,2002,house,37,0,1,2.0,3.0,True,True,high_overperformance,42.410959267368455,True,55.87669517016818,9,371,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-BEAU-DOOLITTLE,Beau Doolittle,-38.12945766572942,-38.12945766572942,-38.12945766572942,-47.35524792763378,-28.90366740382505,1,2014,2014,senate,35,0,0,19.0,37.0,True,True,high_overperformance,-38.12945766572942,False,55.59519356852915,369,12,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
ALPERSON-ANTHONY-ZACHERO,Anthony Zachero,-47.66278099017045,-47.66278099017045,-47.66278099017045,-56.888571252074826,-38.43699072826608,1,2014,2014,house,33,0,0,,,True,True,high_overperformance,-47.66278099017045,False,55.128516892970175,374,6,not_started,same-cycle questionnaire; campaign site; voter guide; explicit abortion/LGBT/cultural statement
