sample,outcome,specification,contrast,coefficient,cluster_se,ci_low,ci_high,p_value
all,candidate_cmo,party_specific_incumbency,Republican incumbency,8.523205514542862,2.9675180500612703,2.706870136422773,14.339540892662953,0.004076682978624298
all,candidate_cmo,party_specific_incumbency,Democratic incumbency,3.2447908662501463,3.367607337649628,-3.3557195155431243,9.845301248043416,0.3352815914017079
all,candidate_cmo,party_specific_incumbency,Democratic-minus-Republican incumbency,-5.278414648292716,4.17041875683261,-13.452435411684633,2.8956061150991994,0.20562775430475366
all,candidate_cmo,party_specific_incumbency_plus_ideology,Republican incumbency,7.175694854790917,2.944874465214514,1.40374090297047,12.947648806611365,0.014823094359789752
all,candidate_cmo,party_specific_incumbency_plus_ideology,Democratic incumbency,3.3066664180452965,3.314779126807735,-3.1903006704978645,9.803633506588458,0.31849637282955645
all,candidate_cmo,party_specific_incumbency_plus_ideology,Democratic-minus-Republican incumbency,-3.8690284367456207,4.085433211519447,-11.876477531323738,4.138420657832496,0.34362341453760425
all,candidate_cmo,party_specific_incumbency_plus_ideology,Republican absolute-ideology slope,-4.556351289716998,6.130623782590837,-16.57237390359504,7.459671324161043,0.4573535242572997
all,candidate_cmo,party_specific_incumbency_plus_ideology,Democratic absolute-ideology slope,19.473397336608855,2.229300685717999,15.103967992601577,23.842826680616135,2.4321575922818828e-18
all,candidate_cmo,party_specific_incumbency_plus_ideology,Democratic-minus-Republican ideology slope,24.029748626325855,6.640078516926195,11.015194733150512,37.0443025195012,0.0002958633539859484
all,candidate_cmo,party_specific_plus_ideology_context,Republican incumbency,6.517753515871739,3.0279598029443764,0.582952302100761,12.452554729642717,0.03135617546951323
all,candidate_cmo,party_specific_plus_ideology_context,Democratic incumbency,2.829118126694988,3.2565076280134293,-3.553636824211333,9.21187307760131,0.3849793298082601
all,candidate_cmo,party_specific_plus_ideology_context,Democratic-minus-Republican incumbency,-3.688635389176751,4.028853556020652,-11.58518835897723,4.207917580623728,0.35990055482317507
all,candidate_cmo,party_specific_plus_ideology_context,Republican absolute-ideology slope,-4.281675986774862,6.228569056900713,-16.48967133830026,7.926319364750536,0.4918147555494301
all,candidate_cmo,party_specific_plus_ideology_context,Democratic absolute-ideology slope,15.323119400480248,2.9288289465762776,9.582614665190745,21.06362413576975,1.6784495720675138e-07
all,candidate_cmo,party_specific_plus_ideology_context,Democratic-minus-Republican ideology slope,19.60479538725511,7.0470697421654975,5.792538692610734,33.417052081899485,0.00540286457481413
all,candidate_cmo,common_incumbency_absolute_ideology,Republican absolute-ideology slope,-4.421272205271654,6.072196403978843,-16.322777157070185,7.4802327465268785,0.4665416883329703
all,candidate_cmo,common_incumbency_absolute_ideology,Democratic absolute-ideology slope,19.64366762301791,2.264825408680914,15.20460982200332,24.082725424032503,4.1951786918464904e-18
all,candidate_cmo,common_incumbency_absolute_ideology,Democratic-minus-Republican ideology slope,24.064939828289567,6.581814277571368,11.164583844249686,36.96529581232945,0.000255904270901128
all,candidate_cmo,common_plus_district_context,Republican absolute-ideology slope,-4.168399360961388,6.1717657824886585,-16.265060294639156,7.928261572716382,0.4994228231426985
all,candidate_cmo,common_plus_district_context,Democratic absolute-ideology slope,15.511772837916347,2.9809674903839296,9.669076556763844,21.35446911906885,1.9546082077352196e-07
all,candidate_cmo,common_plus_district_context,Democratic-minus-Republican ideology slope,19.680172198877735,6.992350320941741,5.975165569831923,33.385178827923546,0.004884878211785667
all,candidate_cmo,common_plus_context_finance,Republican absolute-ideology slope,-2.482882244823917,5.55264872266446,-13.36607374124626,8.400309251598424,0.6547647615447723
all,candidate_cmo,common_plus_context_finance,Democratic absolute-ideology slope,15.543411296469943,3.1872590722511376,9.296383514857713,21.790439078082173,1.0785730395217535e-06
all,candidate_cmo,common_plus_context_finance,Democratic-minus-Republican ideology slope,18.02629354129386,6.453138380455411,5.378142315601254,30.67444476698647,0.005215473396065635
all,candidate_cmo,common_cross_party_moderation,Republican movement toward center,11.963154500422482,2.8151779463127715,6.445405725649449,17.480903275195516,2.142292470633534e-05
all,candidate_cmo,common_cross_party_moderation,Democratic movement toward center,11.963154500422482,2.8151779463127715,6.445405725649449,17.480903275195516,2.142292470633534e-05
all,candidate_cmo,party_specific_cross_party_moderation,Republican movement toward center,4.168399360961422,6.171765782488779,-7.928261572716586,16.26506029463943,0.49942282314270336
all,candidate_cmo,party_specific_cross_party_moderation,Democratic movement toward center,15.511772837916329,2.980967490383919,9.669076556763848,21.35446911906881,1.9546082077350801e-07
all,candidate_cmo,party_specific_cross_party_moderation,Democratic-minus-Republican moderation slope,11.343373476954907,6.712730971406133,-1.8135792270011137,24.50032618091093,0.0910605025948815
all,candidate_cmo,party_specific_moderation_plus_finance,Republican movement toward center,2.4828822448245873,5.552648722664182,-8.40030925159721,13.366073741246385,0.6547647615446688
all,candidate_cmo,party_specific_moderation_plus_finance,Democratic movement toward center,15.543411296469996,3.1872590722511482,9.296383514857745,21.790439078082247,1.0785730395217497e-06
all,candidate_cmo,party_specific_moderation_plus_finance,Democratic-minus-Republican moderation slope,13.060529051645409,6.351225197125319,0.6121276652797842,25.508930438011035,0.039745954398146856
all,candidate_cmo,common_center_proximity,Republican center proximity,8.468481937401707,3.6829636881386234,1.2498731086500054,15.687090766153409,0.02148415793711228
all,candidate_cmo,common_center_proximity,Democratic center proximity,8.468481937401707,3.6829636881386234,1.2498731086500054,15.687090766153409,0.02148415793711228
all,candidate_cmo,party_specific_center_proximity,Republican center proximity,3.930940533752436,6.200020293683578,-8.221099241867377,16.08298030937225,0.5260673839153789
all,candidate_cmo,party_specific_center_proximity,Democratic center proximity,12.329645719205436,4.228559149245147,4.041669786684949,20.617621651725923,0.003547743611411945
all,candidate_statewide_overperformance,party_specific_incumbency,Republican incumbency,10.010703919321355,2.978660554596457,4.172529232312299,15.848878606330409,0.0007771504579587748
all,candidate_statewide_overperformance,party_specific_incumbency,Democratic incumbency,4.36694879257062,3.4203482789941604,-2.336933834257935,11.070831419399173,0.20168854800593972
all,candidate_statewide_overperformance,party_specific_incumbency,Democratic-minus-Republican incumbency,-5.643755126750735,4.2106653149112105,-13.896659143976708,2.609148890475238,0.1801323647073828
all,candidate_statewide_overperformance,party_specific_incumbency_plus_ideology,Republican incumbency,8.662720673235352,2.9576947398818807,2.865638983066866,14.459802363403838,0.0034019027769299523
all,candidate_statewide_overperformance,party_specific_incumbency_plus_ideology,Democratic incumbency,4.453224843460065,3.365785988228259,-2.143715693467323,11.050165380387453,0.18580672818311117
all,candidate_statewide_overperformance,party_specific_incumbency_plus_ideology,Democratic-minus-Republican incumbency,-4.209495829775287,4.118388747370951,-12.281537774622352,3.862546115071778,0.3067231518994147
all,candidate_statewide_overperformance,party_specific_incumbency_plus_ideology,Republican absolute-ideology slope,-4.28889896662925,6.217733625953374,-16.475656873497865,7.897858940239364,0.49032944573253534
all,candidate_statewide_overperformance,party_specific_incumbency_plus_ideology,Democratic absolute-ideology slope,19.716914708449508,2.2738491408569383,15.260170392369908,24.17365902452911,4.277319103303415e-18
all,candidate_statewide_overperformance,party_specific_incumbency_plus_ideology,Democratic-minus-Republican ideology slope,24.00581367507876,6.739507365986203,10.796379237745802,37.215248112411714,0.00036810521213160663
all,candidate_statewide_overperformance,party_specific_plus_ideology_context,Republican incumbency,7.943565490411695,3.0444073026731067,1.9765271771724056,13.910603803650984,0.00907456495346134
all,candidate_statewide_overperformance,party_specific_plus_ideology_context,Democratic incumbency,3.941370747395589,3.3035693704290674,-2.5336252186453834,10.416366713436561,0.2328441834792978
all,candidate_statewide_overperformance,party_specific_plus_ideology_context,Democratic-minus-Republican incumbency,-4.002194743016106,4.056828302503093,-11.953578215922168,3.949188729889957,0.3238716604143985
all,candidate_statewide_overperformance,party_specific_plus_ideology_context,Republican absolute-ideology slope,-4.004676700470527,6.3170937463913,-16.386180443397475,8.37682704245642,0.5261180900142683
all,candidate_statewide_overperformance,party_specific_plus_ideology_context,Democratic absolute-ideology slope,15.325107174920333,2.981309055521105,9.481741426098967,21.1684729237417,2.7416100334211375e-07
all,candidate_statewide_overperformance,party_specific_plus_ideology_context,Democratic-minus-Republican ideology slope,19.32978387539086,7.151914554747769,5.312031348085233,33.347536402696484,0.006876998644711458
all,candidate_statewide_overperformance,common_incumbency_absolute_ideology,Republican absolute-ideology slope,-4.141933170962818,6.154716555732372,-16.205177620198267,7.92131127827263,0.5009670414693668
all,candidate_statewide_overperformance,common_incumbency_absolute_ideology,Democratic absolute-ideology slope,19.902168467188087,2.3126388655711563,15.369396290668622,24.434940643707552,7.576890455568956e-18
all,candidate_statewide_overperformance,common_incumbency_absolute_ideology,Democratic-minus-Republican ideology slope,24.044101638150906,6.678034641760843,10.955153740299654,37.13304953600216,0.0003176354808778338
all,candidate_statewide_overperformance,common_plus_district_context,Republican absolute-ideology slope,-3.8817707831040393,6.255636240555441,-16.142817814592703,8.379276248384626,0.5349130306802113
all,candidate_statewide_overperformance,common_plus_district_context,Democratic absolute-ideology slope,15.529797450834854,3.035867966560921,9.579496236375448,21.48009866529426,3.1301206425309397e-07
all,candidate_statewide_overperformance,common_plus_district_context,Democratic-minus-Republican ideology slope,19.411568233938894,7.093366137378064,5.508570604677889,33.3145658631999,0.006208138280894504
all,candidate_statewide_overperformance,common_plus_context_finance,Republican absolute-ideology slope,-2.4612716515438864,5.615365399799653,-13.467387835151204,8.544844532063433,0.6611614690114933
all,candidate_statewide_overperformance,common_plus_context_finance,Democratic absolute-ideology slope,15.63137236020832,3.2329762751909663,9.294738860834027,21.968005859582615,1.3315969967968003e-06
all,candidate_statewide_overperformance,common_plus_context_finance,Democratic-minus-Republican ideology slope,18.092644011752206,6.5215391619768335,5.310427254277613,30.8748607692268,0.005532225660953253
all,candidate_statewide_overperformance,common_cross_party_moderation,Republican movement toward center,11.885872553827646,2.859682375947544,6.280895096970459,17.49085001068483,3.233566255581664e-05
all,candidate_statewide_overperformance,common_cross_party_moderation,Democratic movement toward center,11.885872553827646,2.859682375947544,6.280895096970459,17.49085001068483,3.233566255581664e-05
all,candidate_statewide_overperformance,party_specific_cross_party_moderation,Republican movement toward center,3.881770783104034,6.255636240555533,-8.37927624838481,16.142817814592878,0.5349130306802178
all,candidate_statewide_overperformance,party_specific_cross_party_moderation,Democratic movement toward center,15.52979745083483,3.035867966560912,9.579496236375443,21.480098665294214,3.1301206425308073e-07
all,candidate_statewide_overperformance,party_specific_cross_party_moderation,Democratic-minus-Republican moderation slope,11.648026667730795,6.810515032666912,-1.700582796296354,24.996636131757946,0.08721033560989991
all,candidate_statewide_overperformance,party_specific_moderation_plus_finance,Republican movement toward center,2.4612716515447026,5.615365399799309,-8.544844532061942,13.467387835151348,0.6611614690113685
all,candidate_statewide_overperformance,party_specific_moderation_plus_finance,Democratic movement toward center,15.63137236020839,3.23297627519098,9.29473886083407,21.96800585958271,1.3315969967967946e-06
all,candidate_statewide_overperformance,party_specific_moderation_plus_finance,Democratic-minus-Republican moderation slope,13.170100708663687,6.437270795704384,0.5530499490830945,25.787151468244282,0.04076485918530013
all,candidate_statewide_overperformance,common_center_proximity,Republican center proximity,8.213241438225513,3.7433451287029227,0.8762849859677848,15.55019789048324,0.02822883779275831
all,candidate_statewide_overperformance,common_center_proximity,Democratic center proximity,8.213241438225513,3.7433451287029227,0.8762849859677848,15.55019789048324,0.02822883779275831
all,candidate_statewide_overperformance,party_specific_center_proximity,Republican center proximity,3.62368265694431,6.2884453998973715,-8.701670326854536,15.949035640743158,0.5644498680767027
all,candidate_statewide_overperformance,party_specific_center_proximity,Democratic center proximity,12.118668753222622,4.299635477497059,3.6913832173283865,20.545954289116857,0.004824350232993676
all,candidate_federal_overperformance,party_specific_incumbency,Republican incumbency,15.781807445865251,4.904819853179813,6.168360533632818,25.395254358097684,0.0012926252767503758
all,candidate_federal_overperformance,party_specific_incumbency,Democratic incumbency,-3.2459430133026963,4.9982931452190345,-13.042597577932003,6.550711551326611,0.5160732130668725
all,candidate_federal_overperformance,party_specific_incumbency,Democratic-minus-Republican incumbency,-19.027750459167947,6.305378675309599,-31.38629266277476,-6.669208255561134,0.0025469968015607207
all,candidate_federal_overperformance,party_specific_incumbency_plus_ideology,Republican incumbency,14.840984758320435,4.94515013680381,5.148490490184967,24.5334790264559,0.0026898929231613444
all,candidate_federal_overperformance,party_specific_incumbency_plus_ideology,Democratic incumbency,-3.0144543485117694,5.0996475413606746,-13.009763529578692,6.980854832555153,0.5544464979081116
all,candidate_federal_overperformance,party_specific_incumbency_plus_ideology,Democratic-minus-Republican incumbency,-17.855439106832204,6.268001888185313,-30.140722807675417,-5.5701554059889915,0.0043903048252132365
all,candidate_federal_overperformance,party_specific_incumbency_plus_ideology,Republican absolute-ideology slope,0.3565195412687121,7.716457639095092,-14.767737431357666,15.48077651389509,0.9631488594781284
all,candidate_federal_overperformance,party_specific_incumbency_plus_ideology,Democratic absolute-ideology slope,13.597270221314867,4.33269717352637,5.1051837612031825,22.08935668142655,0.0016993531589942358
all,candidate_federal_overperformance,party_specific_incumbency_plus_ideology,Democratic-minus-Republican ideology slope,13.240750680046155,8.998696325326522,-4.396694117593828,30.878195477686138,0.14118090380017798
all,candidate_federal_overperformance,party_specific_plus_ideology_context,Republican incumbency,13.773695199703694,5.002193596107518,3.969395751332959,23.57799464807443,0.005895618414065463
all,candidate_federal_overperformance,party_specific_plus_ideology_context,Democratic incumbency,-3.323305178173923,5.113652086980547,-13.346063268655795,6.699452912307949,0.5157640583451624
all,candidate_federal_overperformance,party_specific_plus_ideology_context,Democratic-minus-Republican incumbency,-17.097000377877617,6.325460996485961,-29.494903930990098,-4.6990968247651335,0.00687403046443862
all,candidate_federal_overperformance,party_specific_plus_ideology_context,Republican absolute-ideology slope,0.03729414304412515,7.787866859998088,-15.226924902552128,15.301513188640378,0.9961791453617586
all,candidate_federal_overperformance,party_specific_plus_ideology_context,Democratic absolute-ideology slope,13.484442837774347,5.696537558923721,2.3192292222838553,24.64965645326484,0.017926652709087647
all,candidate_federal_overperformance,party_specific_plus_ideology_context,Democratic-minus-Republican ideology slope,13.447148694730222,10.173237121125453,-6.492396062675665,33.38669345213611,0.1862293932180752
all,candidate_federal_overperformance,common_incumbency_absolute_ideology,Republican absolute-ideology slope,1.4112320944064223,7.653306315342582,-13.589248283665038,16.41171247247788,0.85370352266234
all,candidate_federal_overperformance,common_incumbency_absolute_ideology,Democratic absolute-ideology slope,14.376311378621818,4.531696357955615,5.4941865170288136,23.25843624021482,0.0015118945820794805
all,candidate_federal_overperformance,common_incumbency_absolute_ideology,Democratic-minus-Republican ideology slope,12.965079284215395,9.003132479424192,-4.6810603754560205,30.61121894388681,0.14984953455482727
all,candidate_federal_overperformance,common_plus_district_context,Republican absolute-ideology slope,0.987898944320305,7.745486291549102,-14.193254187115935,16.169052075756547,0.8985089676583815
all,candidate_federal_overperformance,common_plus_district_context,Democratic absolute-ideology slope,14.112234179894218,5.903116000021929,2.5421268198512372,25.682341539937198,0.01681896601866009
all,candidate_federal_overperformance,common_plus_district_context,Democratic-minus-Republican ideology slope,13.124335235573913,10.231007743904778,-6.92843994247945,33.177110413627275,0.19956220546076064
all,candidate_federal_overperformance,common_plus_context_finance,Republican absolute-ideology slope,7.614409027164879,6.8453424905778215,-5.80246225436765,21.031280308697408,0.2659881766265204
all,candidate_federal_overperformance,common_plus_context_finance,Democratic absolute-ideology slope,17.049113819261613,6.123398628498396,5.047252507404757,29.05097513111847,0.005365055053351824
all,candidate_federal_overperformance,common_plus_context_finance,Democratic-minus-Republican ideology slope,9.434704792096735,9.916154657794605,-10.000958337180691,28.87036792137416,0.3413770407529043
all,candidate_federal_overperformance,common_cross_party_moderation,Republican movement toward center,9.511436921211573,4.965975283632228,-0.2218746347075946,19.24474847713074,0.05545157457834425
all,candidate_federal_overperformance,common_cross_party_moderation,Democratic movement toward center,9.511436921211573,4.965975283632228,-0.2218746347075946,19.24474847713074,0.05545157457834425
all,candidate_federal_overperformance,party_specific_cross_party_moderation,Republican movement toward center,-0.9878989443206141,7.745486291549317,-16.169052075757275,14.193254187116047,0.8985089676583528
all,candidate_federal_overperformance,party_specific_cross_party_moderation,Democratic movement toward center,14.11223417989435,5.9031160000219325,2.5421268198513616,25.682341539937337,0.016818966018659155
all,candidate_federal_overperformance,party_specific_cross_party_moderation,Democratic-minus-Republican moderation slope,15.100133124214963,9.21982393263253,-2.970721783744793,33.17098803217472,0.10146556072509456
all,candidate_federal_overperformance,party_specific_moderation_plus_finance,Republican movement toward center,-7.614409027164308,6.845342490577615,-21.03128030869643,5.802462254367816,0.26598817662654173
all,candidate_federal_overperformance,party_specific_moderation_plus_finance,Democratic movement toward center,17.0491138192616,6.123398628498382,5.047252507404771,29.050975131118427,0.005365055053351762
all,candidate_federal_overperformance,party_specific_moderation_plus_finance,Democratic-minus-Republican moderation slope,24.663522846425906,8.389238699447453,8.220614995508896,41.106430697342915,0.0032831819004918174
all,candidate_federal_overperformance,common_center_proximity,Republican center proximity,-0.3731137170757626,5.3434763083051715,-10.846327281353899,10.100099847202374,0.9443321317641693
all,candidate_federal_overperformance,common_center_proximity,Democratic center proximity,-0.3731137170757626,5.3434763083051715,-10.846327281353899,10.100099847202374,0.9443321317641693
all,candidate_federal_overperformance,party_specific_center_proximity,Republican center proximity,-2.0676101426207545,7.781680185783614,-17.319703306756637,13.18448302151513,0.7904685097717018
all,candidate_federal_overperformance,party_specific_center_proximity,Democratic center proximity,1.0141971135689847,6.611549909140963,-11.944440708347301,13.97283493548527,0.878084591279819
all,candidate_presidential_overperformance,party_specific_incumbency,Republican incumbency,18.759314656454226,4.157232646773484,10.611138668778198,26.907490644130256,6.408230322435528e-06
all,candidate_presidential_overperformance,party_specific_incumbency,Democratic incumbency,6.421569015287314,4.02036151397926,-1.4583395521120357,14.301477582686665,0.11020740937546122
