cycle,chamber,district,party,candidate,canonical_candidate_id,person_id,incumbent,winner,candidate_cmo_total_oof,match_status,match_method,similarity,suggested_source_name,shor_u_id,shor_np_score,served_by_election,first_observed_service_year
1998,house,1,D,Starkey,AL-1998-house-1-D-STARKEY,ALPERSON-STARKEY,0,1,10.016340350915574,matched,winner_or_incumbent_unique_surname,90.0,"Starkey, Nelson Jr.",AL1996L101,-0.053,True,1996.0
1998,house,2,D,Hamilton,AL-1998-house-2-D-HAMILTON,ALPERSON-HAMILTON,0,1,21.57885094095501,matched,winner_or_incumbent_unique_surname,90.0,"Hamilton, James",AL1996L058,0.36,True,1996.0
1998,house,3,D,Black,AL-1998-house-3-D-BLACK,ALPERSON-BLACK,0,1,22.66538460284132,matched,election_year_roster_name,90.0,"Black, Marcel",AL1996L028,-0.223,True,1996.0
1998,house,4,D,Mancuso,AL-1998-house-4-D-MANCUSO,ALPERSON-MANCUSO,0,1,20.599206684225543,matched,normalized_exact,100.0,Mancuso,AL1999L086,-0.16,False,1999.0
1998,house,5,D,Carter,AL-1998-house-5-D-CARTER,ALPERSON-CARTER,0,1,21.035268272151864,matched,winner_or_incumbent_unique_surname,90.0,"Carter, Tommy",AL1996L035,0.092,True,1996.0
1998,house,6,D,Schmitz,AL-1998-house-6-D-SCHMITZ,ALPERSON-SCHMITZ,0,1,3.144782123528897,matched,normalized_exact,100.0,Schmitz,AL1999L024,-0.187,False,1999.0
1998,house,8,D,Dukes,AL-1998-house-8-D-DUKES,ALPERSON-DUKES,0,1,36.601781576159446,matched,winner_or_incumbent_unique_surname,90.0,"Dukes, Bill",AL1996L041,0.059,True,1996.0
1998,house,9,D,Grantland,AL-1998-house-9-D-GRANTLAND,ALPERSON-GRANTLAND,0,1,4.137965261084103,matched,winner_or_incumbent_unique_surname,90.0,"Grantland, Ronald",AL1999L105,-0.075,False,1999.0
1998,house,10,D,Smith,AL-1998-house-10-D-SMITH,ALPERSON-SMITH,0,0,-5.609195418709156,matched,normalized_exact,100.0,Smith,AL1996L005,0.149,True,1996.0
1998,house,11,D,White,AL-1998-house-11-D-WHITE,ALPERSON-WHITE,0,0,-5.4825246698350245,fuzzy_review,none,90.0,"White, Henry",,,,
1998,house,12,D,Morrison,AL-1998-house-12-D-MORRISON,ALPERSON-MORRISON,0,1,27.88615336635641,matched,normalized_exact,100.0,Morrison,AL1996L020,0.254,True,1996.0
1998,house,13,D,Hogan,AL-1998-house-13-D-HOGAN,ALPERSON-HOGAN,0,1,2.89299086651382,matched,winner_or_incumbent_unique_surname,90.0,"Hogan, Thomas",AL1996L024,0.007,True,1996.0
1998,house,14,D,Guin,AL-1998-house-14-D-GUIN,ALPERSON-GUIN,0,1,9.433400236860312,matched,winner_or_incumbent_unique_surname,90.0,"Guin, James Jr.",AL1996L007,-0.071,True,1996.0
1998,house,16,D,Thigpen,AL-1998-house-16-D-THIGPEN,ALPERSON-THIGPEN,0,1,4.747202058357438,matched,winner_or_incumbent_unique_surname,90.0,"Thigpen, William Sr.",AL1999L079,0.048,False,1999.0
1998,house,17,D,Millican,AL-1998-house-17-D-MILLICAN,ALPERSON-MILLICAN,0,1,35.84118389653459,matched,winner_or_incumbent_unique_surname,90.0,"Millican, Michael",AL1996L074,0.125,True,1996.0
