person_id,candidate,election_cycle,total_items,eligible_items,post_election_items,dimensions,sources,needs_more_pre_election_evidence
ALPERSON-ALAN-HARPER,Alan Harper,2010,2,1,1,2,2,True
ALPERSON-ALLI-SUMMERFORD,Alli Summerford,2018,2,2,0,2,1,False
ALPERSON-ANDREW-ANDY-BETTERTON,"Andrew ""Andy"" Betterton",2014,1,1,0,1,1,True
ALPERSON-ANTHONY-DANIELS,Anthony Daniels,2014,5,1,4,5,4,True
ALPERSON-BAKER,Alan Baker,2014,1,0,1,1,1,True
ALPERSON-BARBARA-A-DRUMMOND,Barbara A. Drummond,2014,5,1,4,5,5,True
ALPERSON-BARBARA-BIGSBY-BOYD,Barbara Bigsby Boyd,2010,4,3,1,4,3,False
ALPERSON-BEDDINGFIELD,David Beddingfield,2014,3,3,0,3,3,False
ALPERSON-BILLY-BEASLEY,Billy Beasley,2010,1,1,0,1,1,True
ALPERSON-CRAIG-FORD,Craig Ford,2014,4,1,3,4,3,True
ALPERSON-DARRELL-TURNER,Darrell Turner,2014,5,5,0,5,3,False
ALPERSON-DAVID-COACH-BURKETTE,"David ""Coach"" Burkette",2018,2,2,0,2,2,False
ALPERSON-DENNIS-W-STEPHENS,Dennis W. Stephens,2014,1,1,0,1,1,True
ALPERSON-DRAMA-BRELAND,Drama Breland,2010,1,1,0,1,1,True
ALPERSON-FELICIA-STEWART,Felicia Stewart,2018,3,3,0,3,2,False
ALPERSON-GREG-VARNER,Greg Varner,2010,1,0,1,1,1,True
ALPERSON-HENRY-A-WHITE,Henry A. White,2014,4,4,0,4,3,False
ALPERSON-HOLMES,Mike Holmes,2014,2,1,1,1,2,True
ALPERSON-JAMES-C-FIELDS-JR,James C. Fields Jr.,2010,3,3,0,3,3,False
ALPERSON-JEFF-MCLAUGHLIN,Jeff McLaughlin,2014,4,3,1,3,4,False
ALPERSON-JENNIFER-MARSDEN,Jennifer Marsden,2014,3,3,0,3,2,False
ALPERSON-JERRY-L-FIELDING,Jerry Fielding,2010,3,1,2,3,3,True
ALPERSON-JOHN-JODY-LETSON,John (Jody) Letson,2014,3,3,0,3,2,False
ALPERSON-JOHN-ROBINSON,John Robinson,2014,2,2,0,2,2,False
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2014,3,3,0,3,3,False
ALPERSON-JOHNNY-MACK-MORROW,Johnny Mack Morrow,2018,5,5,0,5,1,False
ALPERSON-KIM-CAUDLE-LEWIS,Kim Caudle Lewis,2022,3,3,0,3,2,False
ALPERSON-LARRY-MEANS,Larry Means,2014,6,6,0,5,4,False
ALPERSON-LINDA-MEIGS,Linda Meigs,2018,2,2,0,2,1,False
ALPERSON-LOUISE-ALEXANDER,Louise Alexander,2014,1,1,0,1,1,True
ALPERSON-MARC-KEAHEY,Marc Keahey,2010,2,2,0,1,2,False
ALPERSON-NAPOLEON-BRACY-JR,Napoleon Bracy Jr.,2010,1,0,1,1,1,True
ALPERSON-NATHANIEL-LEDBETTER,Nathaniel Ledbetter,2010,2,1,1,2,2,True
ALPERSON-RANDALL-WHITE,Randall White,2010,2,2,0,2,2,False
ALPERSON-REX-CHEATHAM,Rex Cheatham,2014,2,2,0,2,1,False
ALPERSON-RICHARD-LINDSEY,Richard Lindsey,2014,4,3,1,4,4,False
ALPERSON-TAMMY-L-IRONS,Tammy Irons,2010,5,4,1,4,5,False
ALPERSON-VIVIAN-DAVIS-FIGURES,Vivian Davis Figures,2010,2,2,0,2,2,False
